Model Type,Training Split Ratio,Max Depth,Criterion,Number of Trees,Mean Accuracy
Random Forest,0.4,2,gini,129.0,0.921898461538461
Random Forest,0.25,2,gini,127.0,0.921880846873461
Random Forest,0.35,2,entropy,126.0,0.9218354430379744
Random Forest,0.35,2,gini,125.0,0.9218178621659635
Random Forest,0.2,2,gini,130.0,0.921796923076923
Random Forest,0.3,2,entropy,129.0,0.9217801476620179
Random Forest,0.4,2,entropy,126.0,0.921726153846154
Random Forest,0.15,2,entropy,128.0,0.9217145200984415
Random Forest,0.1,2,entropy,129.0,0.9217097170971708
Random Forest,0.45,2,entropy,125.0,0.9217040481400437
Random Forest,0.2,2,entropy,125.0,0.9216246153846157
Random Forest,0.25,2,gini,128.0,0.9215706548498279
Random Forest,0.25,2,entropy,128.0,0.9214820285573612
Random Forest,0.4,2,entropy,127.0,0.9214369230769226
Random Forest,0.3,2,gini,128.0,0.9214068908941758
Random Forest,0.2,2,gini,127.0,0.9213230769230768
Random Forest,0.35,2,gini,128.0,0.9212658227848098
Random Forest,0.45,2,entropy,127.0,0.9212527352297593
Random Forest,0.2,2,entropy,129.0,0.9212123076923074
Random Forest,0.15,2,entropy,129.0,0.9211812961443805
Random Forest,0.4,2,gini,125.0,0.921138461538461
Random Forest,0.3,2,entropy,130.0,0.921115668580804
Random Forest,0.15,2,entropy,126.0,0.9209680065627562
Random Forest,0.4,2,entropy,130.0,0.9208369230769224
Random Forest,0.25,2,entropy,126.0,0.9207828655834566
Random Forest,0.2,2,entropy,130.0,0.9207507692307694
Random Forest,0.15,2,gini,127.0,0.9207465135356852
Random Forest,0.25,2,entropy,130.0,0.9207237813884784
Random Forest,0.25,2,entropy,125.0,0.9206991629739045
Random Forest,0.15,2,gini,128.0,0.9205988515176375
Random Forest,0.35,2,entropy,127.0,0.9205485232067505
Random Forest,0.45,2,gini,128.0,0.9205087527352299
Random Forest,0.25,2,entropy,129.0,0.9203938946331857
Random Forest,0.15,2,gini,129.0,0.9203609515996716
Random Forest,0.15,2,entropy,127.0,0.9200902378999178
Random Forest,0.15,2,entropy,130.0,0.919934372436423
Random Forest,0.3,2,entropy,125.0,0.9197826086956519
Random Forest,0.35,2,entropy,125.0,0.9197538677918421
Random Forest,0.3,2,entropy,126.0,0.9196308449548813
Random Forest,0.35,2,entropy,128.0,0.9195745428973272
Random Forest,0.25,2,entropy,127.0,0.9195617922205811
Random Forest,0.15,2,entropy,125.0,0.9195406070549629
Random Forest,0.35,2,entropy,130.0,0.9193248945147678
Random Forest,0.1,2,entropy,128.0,0.918966789667897
Random Forest,0.2,2,entropy,127.0,0.9188923076923075
Random Forest,0.1,2,entropy,127.0,0.9185485854858548
Random Forest,0.3,2,entropy,127.0,0.9183552091878593
Random Forest,0.3,2,entropy,128.0,0.9181009023789993
Random Forest,0.1,2,entropy,126.0,0.917847478474785
Random Forest,0.35,2,entropy,129.0,0.9169409282700417
Decision Tree,0.15,2,entropy,,0.9138966365873665
Decision Tree,0.3,2,entropy,,0.9138679245283019
Decision Tree,0.35,2,entropy,,0.9134985935302393
Decision Tree,0.45,2,entropy,,0.913142778993435
Decision Tree,0.2,2,entropy,,0.9131199999999999
Decision Tree,0.25,2,entropy,,0.912954209748892
Decision Tree,0.4,2,entropy,,0.9128769230769228
Decision Tree,0.1,2,entropy,,0.9123247232472328
Decision Tree,0.3,2,gini,,0.9110992616899094
Decision Tree,0.4,2,gini,,0.9110307692307695
Decision Tree,0.45,2,gini,,0.9110147702407001
Decision Tree,0.2,2,gini,,0.9108738461538458
Decision Tree,0.1,2,gini,,0.9108364083640833
Decision Tree,0.35,2,gini,,0.910537974683544
Decision Tree,0.25,2,gini,,0.9103938946331859
Decision Tree,0.15,2,gini,,0.9098933552091879
Random Forest,0.15,1,entropy,128.0,0.8981952420016406
Random Forest,0.25,1,entropy,130.0,0.8966912850812406
Random Forest,0.1,1,entropy,125.0,0.8963099630996311
Random Forest,0.1,1,entropy,130.0,0.8959532595325949
Random Forest,0.1,1,entropy,126.0,0.8956703567035672
Random Forest,0.2,1,entropy,129.0,0.8953846153846153
Random Forest,0.25,1,entropy,127.0,0.8949384539635643
Random Forest,0.2,1,entropy,126.0,0.8948738461538457
Random Forest,0.15,1,entropy,127.0,0.8947990155865466
Random Forest,0.1,1,entropy,129.0,0.8946863468634682
Random Forest,0.3,1,entropy,125.0,0.8946144380639871
Random Forest,0.2,1,entropy,130.0,0.8945476923076922
Random Forest,0.4,1,entropy,126.0,0.8944923076923079
Random Forest,0.2,1,entropy,128.0,0.8944307692307696
Random Forest,0.2,1,entropy,127.0,0.8943876923076924
Random Forest,0.35,1,entropy,126.0,0.8943389592123769
Random Forest,0.25,1,entropy,125.0,0.8940275726243232
Random Forest,0.4,1,entropy,125.0,0.8939753846153846
Random Forest,0.4,1,entropy,130.0,0.8938553846153848
Random Forest,0.45,1,entropy,129.0,0.8937828227571113
Random Forest,0.3,1,entropy,129.0,0.8937407711238721
Random Forest,0.2,1,entropy,125.0,0.8937353846153847
Random Forest,0.3,1,entropy,130.0,0.8936628383921249
Random Forest,0.3,1,entropy,128.0,0.893597210828548
Random Forest,0.45,1,entropy,128.0,0.8934463894967176
Random Forest,0.15,1,entropy,125.0,0.8934290401968827
Random Forest,0.1,1,entropy,128.0,0.8933948339483393
Random Forest,0.15,1,entropy,129.0,0.8933388022969649
Random Forest,0.45,1,entropy,126.0,0.8933014223194746
Random Forest,0.15,1,entropy,126.0,0.8932485643970465
Random Forest,0.35,1,entropy,128.0,0.8932419127988741
Random Forest,0.3,1,entropy,127.0,0.893129614438064
Random Forest,0.35,1,entropy,125.0,0.8930731364275666
Random Forest,0.25,1,entropy,128.0,0.8930083702609554
Random Forest,0.3,1,entropy,126.0,0.8929819524200165
Random Forest,0.45,1,entropy,130.0,0.8928665207877464
Random Forest,0.25,1,entropy,129.0,0.8928409650418513
Random Forest,0.4,1,entropy,129.0,0.8924769230769226
Random Forest,0.1,1,entropy,127.0,0.8924723247232471
Random Forest,0.35,1,entropy,129.0,0.8924472573839658
Random Forest,0.45,1,entropy,125.0,0.8924452954048141
Random Forest,0.15,1,entropy,130.0,0.8920672682526661
Random Forest,0.4,1,entropy,127.0,0.8920030769230776
Random Forest,0.45,1,entropy,127.0,0.8912253829321664
Random Forest,0.35,1,entropy,130.0,0.8911392405063284
Random Forest,0.25,1,entropy,126.0,0.8906450024618414
Random Forest,0.4,1,entropy,128.0,0.8902092307692309
Random Forest,0.35,1,entropy,127.0,0.889954289732771
Random Forest,0.2,1,gini,130.0,0.8861599999999997
Random Forest,0.35,1,gini,129.0,0.8849050632911392
Random Forest,0.4,1,gini,126.0,0.8844369230769228
Random Forest,0.25,1,gini,129.0,0.8843279172821268
Random Forest,0.25,1,gini,126.0,0.8842540620384046
Random Forest,0.3,1,gini,126.0,0.884208367514356
Random Forest,0.35,1,gini,128.0,0.8841385372714491
Random Forest,0.4,1,gini,127.0,0.8840492307692307
Random Forest,0.35,1,gini,126.0,0.8839592123769338
Random Forest,0.4,1,gini,125.0,0.8839107692307695
Random Forest,0.3,1,gini,128.0,0.8838556193601308
Random Forest,0.15,1,gini,129.0,0.8837243642329775
Random Forest,0.45,1,gini,125.0,0.88371170678337
Random Forest,0.3,1,gini,130.0,0.8834167350287119
Random Forest,0.3,1,gini,127.0,0.88332239540607
Random Forest,0.35,1,gini,127.0,0.8833157524613217
Random Forest,0.25,1,gini,130.0,0.8832200886262921
Random Forest,0.25,1,gini,128.0,0.8831610044313147
Random Forest,0.1,1,gini,129.0,0.8831365313653134
Random Forest,0.1,1,gini,125.0,0.8831242312423124
Random Forest,0.2,1,gini,129.0,0.8830892307692308
Random Forest,0.15,1,gini,126.0,0.8829122231337163
Random Forest,0.4,1,gini,128.0,0.8828276923076921
Random Forest,0.45,1,gini,127.0,0.8828145514223198
Random Forest,0.3,1,gini,125.0,0.8827153404429857
Random Forest,0.45,1,gini,126.0,0.8826258205689278
Random Forest,0.15,1,gini,130.0,0.8824610336341264
Random Forest,0.2,1,gini,128.0,0.8824123076923079
Random Forest,0.4,1,gini,129.0,0.882393846153846
Random Forest,0.2,1,gini,127.0,0.8823138461538461
Random Forest,0.4,1,gini,130.0,0.8821076923076926
Random Forest,0.2,1,gini,125.0,0.882067692307692
Random Forest,0.15,1,gini,128.0,0.8820262510254309
Random Forest,0.25,1,gini,125.0,0.8819694731659282
Random Forest,0.1,1,gini,126.0,0.8819065190651909
Random Forest,0.45,1,gini,130.0,0.8818845733041576
Random Forest,0.35,1,gini,130.0,0.8818776371308019
Random Forest,0.3,1,gini,129.0,0.8817883511074647
Random Forest,0.2,1,gini,126.0,0.8817723076923076
Random Forest,0.1,1,gini,130.0,0.8817343173431738
Random Forest,0.45,1,gini,128.0,0.8815207877461709
Random Forest,0.15,1,gini,127.0,0.8812223133716164
Random Forest,0.35,1,gini,125.0,0.8806715893108296
Random Forest,0.15,1,gini,125.0,0.8805250205086139
Random Forest,0.45,1,gini,129.0,0.8805005470459512
Random Forest,0.1,1,gini,128.0,0.8801968019680195
Random Forest,0.1,1,gini,127.0,0.8791881918819193
Random Forest,0.25,1,gini,127.0,0.8787592319054659
Decision Tree,0.1,1,gini,,0.7918327183271834
Decision Tree,0.35,1,gini,,0.790973980309423
Decision Tree,0.3,1,gini,,0.7906357670221495
Decision Tree,0.4,1,gini,,0.790150769230769
Decision Tree,0.25,1,gini,,0.7901378631216147
Decision Tree,0.2,1,gini,,0.7898584615384618
Decision Tree,0.15,1,gini,,0.7897785069729286
Decision Tree,0.45,1,gini,,0.7896799781181624
Decision Tree,0.45,1,entropy,,0.745459518599562
Decision Tree,0.4,1,entropy,,0.7432153846153846
Decision Tree,0.35,1,entropy,,0.7415893108298169
Decision Tree,0.25,1,entropy,,0.7389414081733138
Decision Tree,0.2,1,entropy,,0.7355815384615384
Decision Tree,0.1,1,entropy,,0.7336039360393605
Decision Tree,0.3,1,entropy,,0.7326292042657918
Decision Tree,0.15,1,entropy,,0.7303363412633306
